530  607
530  603
430  587
320  607
650  633
580  613
640  617
540  590
410  627
470  610
640  610
700  637
500  607
540  603
440  593
490  637
520  600
390  587
390  617
340  607
530  610
490  620
560  640
540  623
670  640
590  660
380  583
500  630
570  550
610  663
360  640
430  617
500  607
530  623
540  597
450  613
380  583
550  640
380  617
630  620
470  633
350  610
600  637
460  623
640  637
600  627
530  653
530  600
560  620
660  613
410  577
410  583
540  627
360  633
420  587
610  657
340  573
380  600
450  623
520  617
570  640
380  603
350  577
540  590
440  600
420  577
540  650
370  573
500  633
730  663
290  567  
480  603
480  613
580  647
320  600
440  577
300  520
420  607
370  563
410  580
400  587
500  633
